ENTRY,AGL thermal conductivity,unit cell stoichiometry,unit cell IUPAC valence,relaxed bravais lattice,space group,Pearson symbol
Ac1H2 [903e65521a6472cd],6.30231,"0.333333333, 0.666666667",5,FCC,225 - Fm3m,cF12
Ag16Ca6[52a92160866b3a2a],0.311928,"0.727272727, 0.272727273",76,BCC,229 - Im3m,cI44
Ag1Cd1 [1a5594f050f5eeaa],0.614437,"0.5, 0.5",6,CUB,221 - Pm3m,cP2
Ag1Dy1[ad8b903eea462234],3.90426,"0.5, 0.5",8,CUB,221 - Pm3m,cP2
Ag1Er1 [d3311cbd31908b52],3.68224,"0.5, 0.5",7,CUB,221 - Pm3m,cP2
Ag1Ga1[7ce7192fd654501b],0.881464,"0.5, 0.5",7,CUB,221 - Pm3m,cP2
Ag1Gd1 [b08aeea1f94fa24c],1.39617,"0.5, 0.5",7,CUB,221 - Pm3m,cP2
Ag1Hf2 [bbfa0d883212ae9f],7.89318,"0.333333333, 0.666666667",12,BCT,139 - I4/mmm,tI6
Ag1Ho1[2236cb624d741ca7],3.79173,"0.5, 0.5",7,CUB,221 - Pm3m,cP2
Ag1La1 [fdbdd132b64b5e94],2.3113,"0.5, 0.5",7,TET,123 - P4/mmm,tP2
Ag1La1 [6f8934d40bc1c3b7],1.45764,"0.5, 0.5",7,CUB,221 - Pm3m,cP2
Ag1Li1 [4c10b43e69b72e7c],1.39359,"0.5, 0.5",5,CUB,221 - Pm3m,cP2
Ag1Mg1[88ed2152280d6868],2.76908,"0.5, 0.5",6,CUB,221 - Pm3m,cP2
Ag1Pt3 [e2ded1c71ca5f4b6],2.22655,"0.25, 0.75",22,CUB,221 - Pm3m,cP4
Ag1Sc1 [528f39089c3a8aaa],5.1347,"0.5, 0.5",7,CUB,221 - Pm3m,cP2
Ag1Tb1 [f0216227e77670e1],3.76095,"0.5, 0.5",8,CUB,221 - Pm3m,cP2
Ag1Ti2 [cd218b45a20c9d02],9.66728,"0.333333333, 0.666666667",12,BCT,139 - I4/mmm,tI6
Ag1Y1 [f36e18a378d3536b],6.48975,"0.5, 0.5",7,CUB,221 - Pm3m,cP2
Ag1Yb1[814ca132a7938e3d],0.763001,"0.5, 0.5",7,CUB,221 - Pm3m,cP2
Ag1Zn1[8695dbc1dce08b16],1.06593,"0.5, 0.5",6,CUB,221 - Pm3m,cP2
Ag1Zr2 [0096426c57ae3f16],6.13645,"0.333333333, 0.666666667",12,BCT,139 - I4/mmm,tI6
Ag2Be4 [906cf5402e55f573],9.19368,"0.333333333, 0.666666667",16,FCC,227 - Fd3m,cF24
Ag2Ca2 [348aaceb97a7cad5],1.334,"0.5, 0.5",12,ORCC,63 - Cmcm,oS8
Ag2Dy1[7b84ba6979e466a2],1.88626,"0.666666667, 0.333333333",12,BCT,139 - I4/mmm,tI6
Ag2Er1 [f19f7d6d2d7a3b7f],2.19604,"0.666666667, 0.333333333",11,BCT,139 - I4/mmm,tI6
Ag2Hf2 [8cffa25d1f303313],4.06398,"0.5, 0.5",16,TET,129 - P4/nmm,tP4
Ag2Ho1[b76039d9d889a419],2.02152,"0.666666667, 0.333333333",11,BCT,139 - I4/mmm,tI6
Ag2Li2 [6a0cfd8361d328cd],0.604212,"0.5, 0.5",10,BCT,141 - I41/amd,tI8
Ag2Sc1 [efede5d94aeda377],2.82917,"0.666666667, 0.333333333",11,BCT,139 - I4/mmm,tI6
Ag2Tb1 [ce620ffad6e99ca9],1.69739,"0.666666667, 0.333333333",12,BCT,139 - I4/mmm,tI6
Ag2Th1 [2f4b7a92fe4f70ca],2.79052,"0.666666667, 0.333333333",12,HEX,191 - P6/mmm,hP3
Ag2Th4[981a1b462db4f147],1.18724,"0.333333333, 0.666666667",24,BCT,140 - I4/mcm,tI12
Ag2Ti2 [7fc090bb2747841c],5.10615,"0.5, 0.5",16,TET,129 - P4/nmm,tP4
Ag2Y1 [17957a7083ef0ccd],2.25299,"0.666666667, 0.333333333",11,BCT,139 - I4/mmm,tI6
Ag2Yb1 [8e92a5daf4083c8c],0.991956,"0.666666667, 0.333333333",11,BCT,139 - I4/mmm,tI6
Ag2Zr2 [182ef0ed2f8125eb],4.37408,"0.5, 0.5",16,TET,129 - P4/nmm,tP4
Ag36In16[1381bdf3abc1096d],0.20578,"0.692307692, 0.307692308",192,CUB,215 - P43m,cP52
Ag3Pt1 [42e9730ac658aaf0],1.07723,"0.75, 0.25",18,CUB,221 - Pm3m,cP4
Ag4Ba2 [3c78f90c1e08f159],1.04424,"0.666666667, 0.333333333",20,ORCI,74 - Imma,oI12
Ag4Ba4[d01371eb46ecbd32],0.713274,"0.5, 0.5",24,ORC,62 - Pnma,oP8
